OpenTime,Open,High,Low,Close,Volume,CloseTime,QuoteAssetVolume,NumberOfTrades,BuyBaseAssetVolume,BuyQuoteAssetVolume,Ignore,RSI,MACD,MACDSign,MACDHist,Change
1503151200000,4066,4068.31,3964.67,3972.05,12.57893,1503158399999,50725.52507143,93,9.159166,37017.36644245,9232.31800303,37.5,-102.16,-101.08,-1.08,-67.79
1503158400000,4036.19,4049.69,3953.4,4027.37,7.153725,1503165599999,28570.79906236,64,4.924104,19708.90713928,9141.24818084,41.76,-99.12,-99.77,0.65,55.32
1503165600000,4013.69,4103.92,4013.69,4076.12,18.771331,1503172799999,75907.90386068,97,15.174569,61347.71310765,9141.76888514,45.29,-91.95,-94.56,2.61,48.75
1503172800000,4088.71,4149.99,4051.47,4074.23,6.939764,1503179999999,28355.29173262,69,4.873371,19956.00750205,9144.47232364,45.18,-85.43,-88.47,3.04,-1.89
1503180000000,4090,4141,4090,4139.98,2.410796,1503187199999,9943.25941874,44,2.251454,9290.69741714,9184.08552906,49.92,-74.41,-79.1,4.69,65.75
1503187200000,4120.98,4139.98,4044,4082.53,3.405075,1503194399999,13921.74721235,48,2.993177,12239.80757387,9196.68256901,46.16,-69.21,-72.51,3.29,-57.45
1503194400000,4096.33,4124.69,4082.62,4094.62,3.206208,1503201599999,13168.57657779,31,2.765208,11368.14115779,9087.0625915,47.06,-63.44,-66.46,3.02,12.09
1503201600000,4094.62,4142.16,4087,4117.41,11.552299,1503208799999,47436.24653968,106,9.87631,40539.40621138,9213.25376846,48.81,-56.48,-59.81,3.33,22.79
1503208800000,4117.41,4156.56,4081.19,4155.87,17.051611,1503215999999,70102.92833402,169,10.271777,42279.81836457,9252.69753132,51.7,-47.49,-51.6,4.11,38.46
1503216000000,4155.87,4211.08,4032.62,4155,17.791396,1503223199999,73749.03760937,151,7.707415,32097.64121923,9516.52271545,51.63,-39.95,-43.83,3.88,-0.87
1503223200000,4140,4142.41,4080,4106.53,18.228547,1503230399999,74692.97559765,117,12.55164,51462.91195999,9680.68801577,47.7,-37.21,-39.42,2.21,-48.47
1503230400000,4106.53,4125.43,4063.35,4063.35,4.024002,1503237599999,16453.89263875,53,1.652223,6778.07589912,9725.17904699,44.45,-37.87,-38.39,0.51,-43.18
1503237600000,4096.32,4125,4068.5,4125,25.089264,1503244799999,103053.16304752,75,20.678763,84944.12729266,9866.10295518,49.71,-33.34,-35.03,1.68,61.65
1503244800000,4125,4150,4091.59,4129,72.583642,1503251999999,299156.11026818,317,60.962159,251161.78373656,9901.65813544,50.04,-29.11,-31.08,1.97,4
1503252000000,4129.32,4185.94,4116,4164.6,97.411875,1503259199999,404220.33536438,372,85.863539,356257.96478462,9922.37566126,53.01,-22.78,-25.55,2.77,35.6
